parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,sharpe_ratio,base_return
"[90, 160]",28.07,94.83%,-77.13%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.23,1.0739493995800964,74.58970481782359
"[140, 160]",31.79,99.73%,-82.05%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.22,1.096998253664567,74.58970481782359
"[120, 180]",32.21,100.26%,-82.03%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.22,1.099977599594073,74.58970481782359
"[130, 170]",31.81,99.76%,-82.04%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.22,1.097136905621748,74.58970481782359
"[130, 180]",32.03,100.04%,-81.91%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.22,1.0969482034530162,74.58970481782359
"[140, 170]",31.87,99.83%,-82.01%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.22,1.0957469802264985,74.58970481782359
"[150, 160]",31.83,99.78%,-82.01%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.22,1.0954700635955097,74.58970481782359
"[70, 170]",28.34,95.2%,-77.85%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.22,1.0800640275767932,74.58970481782359
"[100, 150]",26.62,92.77%,-77.43%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.2,1.061015161337994,74.58970481782359
"[160, 190]",32.55,100.68%,-84.19%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.2,1.0973473463008578,74.58970481782359
"[170, 180]",32.64,100.8%,-84.14%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.2,1.0980107624351947,74.58970481782359
"[110, 190]",30.26,97.78%,-82.27%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.19,1.0854883165979603,74.58970481782359
"[100, 120]",25.29,90.8%,-76.39%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.19,1.054782215101061,74.58970481782359
"[80, 150]",25.51,91.13%,-76.85%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.19,1.0566892629499292,74.58970481782359
"[120, 170]",29.77,97.13%,-82.30%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.18,1.082611908535803,74.58970481782359
"[90, 130]",25.09,90.51%,-76.57%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.18,1.0529723404264222,74.58970481782359
"[80, 190]",25.71,91.44%,-78.11%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.17,1.0493903618896827,74.58970481782359
"[100, 130]",25.93,91.76%,-78.71%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.17,1.059456773688322,74.58970481782359
"[70, 190]",26.65,92.81%,-79.42%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.17,1.062973935366003,74.58970481782359
"[100, 140]",25.62,91.3%,-78.44%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.16,1.0560937504988444,74.58970481782359
"[80, 160]",25.5,91.13%,-78.59%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.16,1.0552399704639732,74.58970481782359
"[80, 170]",26.26,92.25%,-79.78%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.16,1.060704445029211,74.58970481782359
"[160, 170]",29.27,96.47%,-83.63%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.15,1.0765435143118993,74.58970481782359
"[130, 160]",28.45,95.35%,-83.04%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.15,1.0722819710263696,74.58970481782359
"[120, 140]",25.09,90.5%,-78.88%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.15,1.0467477132544005,74.58970481782359
"[140, 180]",28.87,95.92%,-83.86%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.14,1.0736903270138978,74.58970481782359
"[70, 180]",26.25,92.23%,-80.63%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.14,1.0607663818924618,74.58970481782359
"[90, 140]",24.86,90.15%,-78.77%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.14,1.0498170843100676,74.58970481782359
"[140, 150]",27.73,94.35%,-83.47%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.13,1.066322254531457,74.58970481782359
"[150, 170]",28.13,94.91%,-84.27%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.13,1.0677073651645217,74.58970481782359
"[90, 150]",24.32,89.31%,-78.87%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.13,1.0439643222708272,74.58970481782359
"[110, 120]",24.2,89.13%,-79.68%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.12,1.0430958464152797,74.58970481782359
"[150, 180]",27.82,94.47%,-84.45%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.12,1.065068120908064,74.58970481782359
"[140, 190]",27.63,94.21%,-84.55%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.11,1.0635046826401928,74.58970481782359
"[130, 190]",27.48,94.0%,-84.63%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.11,1.062683714115157,74.58970481782359
"[130, 140]",23.97,88.77%,-80.07%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.11,1.0346491004061036,74.58970481782359
"[120, 190]",27.46,93.97%,-84.68%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.11,1.062351395085367,74.58970481782359
"[60, 190]",23.4,87.87%,-79.58%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.1,1.0344481576334266,74.58970481782359
"[120, 150]",22.96,87.15%,-80.86%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.08,1.0245301307399362,74.58970481782359
"[110, 180]",23.44,87.93%,-83.31%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.06,1.028426806733547,74.58970481782359
"[90, 190]",21.6,84.87%,-81.36%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.04,1.0103556216436398,74.58970481782359
"[100, 180]",21.07,83.96%,-81.40%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.03,1.0045509804449624,74.58970481782359
"[120, 160]",21.53,84.75%,-82.53%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.03,1.010036008121595,74.58970481782359
"[110, 160]",20.72,83.35%,-81.25%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.03,1.0014178137149456,74.58970481782359
"[130, 150]",20.86,83.6%,-83.16%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.01,1.0028753527504397,74.58970481782359
"[90, 180]",20.55,83.04%,-82.07%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.01,0.9995613863597071,74.58970481782359
"[100, 170]",19.59,81.3%,-82.39%,2017-12-16 00:00:00,2020-05-25 00:00:00,0.99,0.9884818824618329,74.58970481782359
"[100, 190]",20.59,83.13%,-83.71%,2017-12-16 00:00:00,2020-05-25 00:00:00,0.99,0.9994389818591375,74.58970481782359
"[110, 170]",18.73,79.69%,-82.62%,2017-12-16 00:00:00,2020-05-25 00:00:00,0.96,0.978648315493184,74.58970481782359
